Date,Area_Name,Road_Name,Traffic_Volume,Average_Speed,Congestion_Level,Road_Capacity_Utilization,Environmental_Impact,Public_Transport_Usage,Weather_Conditions,Month,Day_of_Week,Is_Weekend,Incident_Reports,Pedestrian_Cyclist_Count
2022-01-01,Indiranagar,100 Feet Road,50590,50.23029856408026,100.0,100.0,151.18,70.63233020424546,Clear,1,Saturday,1,0,111
2022-01-01,Indiranagar,CMH Road,30825,29.377124707590276,100.0,100.0,111.65,41.92489889519251,Clear,1,Saturday,1,1,100
2022-01-01,Whitefield,Marathahalli Bridge,7399,54.47439821046639,28.34799386357647,36.39652493739601,64.798,44.66238370778891,Clear,1,Saturday,1,0,189
2022-01-01,Koramangala,Sony World Junction,60874,43.817610389486106,100.0,100.0,171.748,32.7731231534285,Clear,1,Saturday,1,1,111
2022-01-01,Koramangala,Sarjapur Road,57292,41.11676288840868,100.0,100.0,164.584,35.09260099809909,Clear,1,Saturday,1,3,104
2022-01-01,M.G. Road,Trinity Circle,47848,34.241962549718146,100.0,100.0,145.696,39.92787128509848,Overcast,1,Saturday,1,3,94
2022-01-01,M.G. Road,Anil Kumble Circle,36574,29.98242956415464,100.0,100.0,123.148,72.47912989429844,Clear,1,Saturday,1,3,115
2022-01-01,Jayanagar,Jayanagar 4th Block,25379,38.45517943888766,79.03882287608127,100.0,100.758,46.315343522035626,Clear,1,Saturday,1,2,92
2022-01-01,Jayanagar,South End Circle,25022,35.039373044314026,78.97959595139889,100.0,100.044,44.26169321942941,Clear,1,Saturday,1,1,105
2022-01-01,Hebbal,Hebbal Flyover,31760,56.90455625809979,97.67246206775482,100.0,113.52,12.854259908833471,Clear,1,Saturday,1,1,91
2022-01-01,Hebbal,Ballari Road,38446,26.144876261711516,100.0,100.0,126.892,48.86405681196237,Overcast,1,Saturday,1,3,84
2022-01-01,Yeshwanthpur,Yeshwanthpur Circle,15043,47.96984673233186,55.74084425048581,76.63531646154289,80.086,21.314009986622963,Clear,1,Saturday,1,0,105
2022-01-02,Indiranagar,100 Feet Road,22050,52.87084603742452,78.42982810236049,100.0,94.1,35.74010621416035,Fog,1,Sunday,1,3,115
2022-01-02,Indiranagar,CMH Road,37877,26.42842443583717,100.0,100.0,125.754,75.832100904704,Overcast,1,Sunday,1,1,96
2022-01-02,Koramangala,Sarjapur Road,29106,43.56398794323472,90.40985493372185,100.0,108.212,53.05050586894188,Fog,1,Sunday,1,3,100
2022-01-02,M.G. Road,Trinity Circle,53217,37.57207490980107,100.0,100.0,156.434,33.65966097960751,Clear,1,Sunday,1,5,102
2022-01-02,M.G. Road,Anil Kumble Circle,37584,45.889505969673664,100.0,100.0,125.168,15.97432254956376,Fog,1,Sunday,1,2,101
2022-01-02,Jayanagar,Jayanagar 4th Block,16676,53.52433334796224,47.15579429351197,78.63350743415457,83.352,38.62670610899889,Fog,1,Sunday,1,2,92
2022-01-02,Jayanagar,South End Circle,37509,51.5135098647949,100.0,100.0,125.018,63.04922773250584,Overcast,1,Sunday,1,1,76
2022-01-02,Hebbal,Hebbal Flyover,6758,34.756123586657104,21.203699651426128,32.77504734397373,63.516,13.171280684043117,Rain,1,Sunday,1,1,200
2022-01-02,Hebbal,Ballari Road,30209,31.1468640313824,100.0,100.0,110.418,48.193175252115445,Clear,1,Sunday,1,2,90
2022-01-02,Yeshwanthpur,Yeshwanthpur Circle,20375,40.06999065341167,58.38210538138319,100.0,90.75,18.271537933515937,Overcast,1,Sunday,1,0,113
2022-01-02,Yeshwanthpur,Tumkur Road,15636,32.794298957181454,48.93607080506035,82.48757325603566,81.27199999999999,62.56097474540481,Overcast,1,Sunday,1,1,115
2022-01-03,Indiranagar,100 Feet Road,23457,38.86905317091622,87.20214293875112,100.0,96.914,33.006518175894115,Clear,1,Monday,0,2,109
2022-01-03,Indiranagar,CMH Road,38925,33.52942618497861,100.0,100.0,127.85,53.27526443213827,Overcast,1,Monday,0,1,106
