month,avg_traffic_volume,avg_congestion,avg_speed,total_incidents
2022-01,29252.0,79.3,40.1,435
2022-02,28420.0,80.37,38.9,424
2022-03,29850.0,81.54,40.27,456
2022-04,29219.0,81.07,39.46,470
2022-05,28901.0,80.08,40.29,500
2022-06,30440.0,82.4,39.08,447
2022-07,28925.0,81.13,38.33,492
2022-08,29740.0,81.89,39.2,476
2022-09,29239.0,80.91,39.49,410
2022-10,30040.0,82.29,38.91,470
2022-11,29559.0,81.25,40.03,489
2022-12,29795.0,81.19,39.02,382
2023-01,28388.0,78.8,39.42,467
2023-02,28414.0,77.41,40.09,371
2023-03,29261.0,81.31,38.89,449
2023-04,29740.0,80.99,38.78,423
2023-05,28931.0,80.69,39.99,471
2023-06,30558.0,81.48,39.87,418
2023-07,28636.0,79.57,39.52,484
2023-08,29470.0,81.81,39.34,433
2023-09,28927.0,79.96,39.09,435
2023-10,28739.0,80.63,39.81,495
2023-11,29040.0,82.22,39.73,433
2023-12,28174.0,79.14,39.69,399
2024-01,28865.0,80.43,38.39,432
2024-02,30540.0,84.2,38.34,458
2024-03,29419.0,81.26,38.87,469
2024-04,29770.0,81.75,39.42,430
2024-05,28948.0,80.13,40.61,468
2024-06,28257.0,79.47,40.08,474
2024-07,29066.0,80.75,40.22,441
2024-08,28841.0,79.62,38.26,132
